1	0	0.203	Fz..
2	-60	0.219	Fc3.
3	-42	0.14	Fc1.
4	0	0.101	Fcz.
5	42	0.14	Fc2.
6	60	0.219	Fc4.
7	-90	0.304	C5..
8	-90	0.203	C3..
9	-90	0.101	C1..
10	0	0	Cz..
11	90	0.101	C2..
12	90	0.203	C4..
13	90	0.304	C6..
14	-120	0.219	Cp3.
15	-138	0.14	Cp1.
16	180	0.101	Cpz.
17	138	0.14	Cp2.
28	120	0.219	Cp4.
19	-159	0.219	P1..
20	180	0.181	Pz..
21	159	0.219	P2..
22	180	0.304	Poz.
